"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"5594",1,"HARLEM-UPPER             ","02  TWO FAMILY HOMES                        ","1",2084,23,NA,"B3"," 515 WEST 152ND STREET                     ","            ",10031,2,0,2,"1,699","3,764",1899,1," B3 ","$610,000",2011-01-31,610000,3764,1699,0
"5595",1,"HARLEM-UPPER             ","02  TWO FAMILY HOMES                        ","1",2087,121,NA,"B1"," 615 WEST 138TH STREET                     ","            ",10031,2,0,2,"1,499","3,100",1905,1," B1 ","$1,295,000",2011-07-08,1295000,3100,1499,0
"5596",1,"HARLEM-UPPER             ","02  TWO FAMILY HOMES                        ","1",2089,123,NA,"B3"," 611 WEST 142 STREET                       ","            ",10031,2,0,2,"1,499","3,500",1910,1," B3 ","$475,750",2011-03-23,475750,3500,1499,0
"5597",1,"HARLEM-UPPER             ","02  TWO FAMILY HOMES                        ","1",2094,25,NA,"B3"," 613 WEST 147TH STREET                     ","            ",10031,2,0,2,"1,665","3,328",1901,1," B3 ","$999,000",2011-03-29,999000,3328,1665,0
"5599",1,"HARLEM-UPPER             ","02  TWO FAMILY HOMES                        ","1",2094,127,NA,"B3"," 605 WEST 147 STREET                       ","            ",10031,2,0,2,"1,299","2,860",1901,1," B3 ","$970,000",2011-09-30,970000,2860,1299,0
"5600",1,"HARLEM-UPPER             ","03  THREE FAMILY HOMES                      ","1",2068,40,NA,"C0"," 432 WEST 154TH STREET                     ","            ",10032,3,0,3,"1,799","4,608",1899,1," C0 ","$999,000",2011-05-31,999000,4608,1799,0
"5715",1,"INWOOD                   ","02  TWO FAMILY HOMES                        ","1",2215,190,NA,"B9"," 167 WEST 228 STREET                       ","            ",10463,2,0,2,"1,980","2,599",1901,1," B9 ","$560,000",2011-02-16,560000,2599,1980,0
"5716",1,"INWOOD                   ","02  TWO FAMILY HOMES                        ","1",2215,289,NA,"B3"," 41 ADRIAN AVENUE                          ","            ",10463,2,0,2,"2,500","2,226",1901,1," B3 ","$434,600",2011-05-20,434600,2226,2500,0
"5717",1,"INWOOD                   ","02  TWO FAMILY HOMES                        ","1",2215,361,NA,"B1"," 18 VAN CORLEAR PLACE                      ","            ",10463,2,0,2,"2,800","3,312",1925,1," B1 ","$525,000",2011-08-30,525000,3312,2800,0
"5719",1,"INWOOD                   ","02  TWO FAMILY HOMES                        ","1",2248,111,NA,"B9"," 114 SEAMAN AVENUE                         ","            ",10034,2,0,2,"2,550","3,700",1940,1," B9 ","$625,000",2011-04-04,625000,3700,2550,0
"5844",1,"KIPS BAY                 ","01  ONE FAMILY HOMES                        ","1",923,58,NA,"A4"," 310 EAST 18TH   STREET                    ","            ",10003,1,0,1,"1,560","5,048",1910,1," A4 ","$5,325,000",2011-05-26,5325000,5048,1560,0
"5845",1,"KIPS BAY                 ","01  ONE FAMILY HOMES                        ","1",924,21,NA,"A4"," 333 EAST 18TH STREET                      ","            ",10003,1,0,1,"1,840","4,000",1901,1," A4 ","$5,300,000",2011-01-31,5300000,4000,1840,0
"6963",1,"MIDTOWN EAST             ","01  ONE FAMILY HOMES                        ","1",1344,9,NA,"A4"," 319 EAST 51ST STREET                      ","            ",10022,1,0,1,"1,883","5,031",1900,1," A4 ","$4,600,000",2011-08-08,4600000,5031,1883,0
"13310",1,"MURRAY HILL              ","01  ONE FAMILY HOMES                        ","1",891,34,NA,"S1"," 155 EAST 35TH   STREET                    ","            ",10016,1,1,2,"2,617","5,001",1901,1," S1 ","$4,600,000",2011-09-27,4600000,5001,2617,0
"13311",1,"MURRAY HILL              ","01  ONE FAMILY HOMES                        ","1",892,18,NA,"A5"," 133 EAST 36TH   STREET                    ","            ",10016,1,0,1,"1,492","5,095",1920,1," A5 ","$2,925,000",2011-11-21,2925000,5095,1492,0
"13312",1,"MURRAY HILL              ","01  ONE FAMILY HOMES                        ","1",893,71,NA,"A4"," 132 EAST 38 STREET                        ","            ",10016,1,0,1,"495","1,920",1910,1," A4 ","$2,300,000",2011-06-14,2300000,1920,495,0
"13313",1,"MURRAY HILL              ","01  ONE FAMILY HOMES                        ","1",894,28,NA,"A4"," 131 EAST 38TH   STREET                    ","            ",10016,1,0,1,"1,876","3,509",1901,1," A4 ","$2,800,000",2011-09-22,2800000,3509,1876,0
"13314",1,"MURRAY HILL              ","01  ONE FAMILY HOMES                        ","1",894,29,NA,"A4"," 133 EAST 38TH   STREET                    ","            ",10016,1,0,1,"1,876","3,040",1901,1," A4 ","$4,550,000",2011-01-14,4550000,3040,1876,0
"13315",1,"MURRAY HILL              ","01  ONE FAMILY HOMES                        ","1",912,7,NA,"S1"," 209 EAST 31ST   STREET                    ","            ",10016,1,1,2,"1,852","6,336",1901,1," S1 ","$5,250,000",2011-12-13,5250000,6336,1852,0
"13316",1,"MURRAY HILL              ","02  TWO FAMILY HOMES                        ","1",912,11,NA,"B9"," 217 EAST 31 STREET                        ","            ",10016,2,0,2,"1,679","3,332",1899,1," B9 ","$2,970,000",2011-08-12,2970000,3332,1679,0
"13318",1,"MURRAY HILL              ","03  THREE FAMILY HOMES                      ","1",910,52,NA,"C0"," 218 EAST 30TH   STREET                    ","            ",10016,3,0,3,"1,852","2,736",1910,1," C0 ","$2,200,000",2011-06-21,2200000,2736,1852,0
"13892",1,"SOHO                     ","01  ONE FAMILY HOMES                        ","1",475,17,NA,"S1"," 53 WOOSTER STREET                         ","            ",10013,1,1,2,"1,374","3,096",1899,1," S1 ","$3,575,000",2011-11-21,3575000,3096,1374,0
"13895",1,"SOHO                     ","02  TWO FAMILY HOMES                        ","1",503,44,NA,"S2"," 193 SPRING STREET                         ","            ",10012,2,1,3,"1,478","3,678",1901,1," S2 ","$700,000",2011-09-19,7e+05,3678,1478,0
"13897",1,"SOHO                     ","02  TWO FAMILY HOMES                        ","1",519,12,NA,"B2"," 54 KING STREET                            ","            ",10014,2,0,2,"2,094","3,636",1899,1," B2 ","$5,337,500",2011-07-21,5337500,3636,2094,0
"13898",1,"SOHO                     ","02  TWO FAMILY HOMES                        ","1",520,83,NA,"S2"," 1A KING STREET                            ","            ",10012,2,1,3,"785","5",1899,1," S2 ","$499,000",2011-08-09,499000,5,785,0
"13899",1,"SOHO                     ","03  THREE FAMILY HOMES                      ","1",519,55,NA,"C0"," 19 CHARLTON STREET                        ","            ",10014,3,0,3,"2,333","4,140",1899,1," C0 ","$8,600,000",2011-09-16,8600000,4140,2333,0
"13900",1,"SOHO                     ","03  THREE FAMILY HOMES                      ","1",519,61,NA,"C0"," 33 CHARLTON STREET                        ","            ",10014,3,0,3,"2,025","5,405",1910,1," C0 ","$8,655,125",2011-06-03,8655125,5405,2025,0
"14303",1,"TRIBECA                  ","01  ONE FAMILY HOMES                        ","1",189,42,NA,"A9"," 226 WEST BROADWAY                         ","            ",10013,1,0,1,"1,700","6,435",1915,1," A9 ","$6,490,000",2011-09-09,6490000,6435,1700,0
"14865",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1378,27,NA,"A7"," 33 EAST 63RD STREET                       ","            ",10065,1,0,1,"2,000","6,000",1901,1," A7 ","$17,000,000",2011-06-21,1.7e+07,6000,2000,0
"14867",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1378,61,NA,"A4"," 20 EAST 64TH STREET                       ","            ",10065,1,0,1,"2,510","9,384",1899,1," A4 ","$23,000,000",2011-07-15,2.3e+07,9384,2510,0
"14869",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1383,60,NA,"A7"," 16 EAST 69TH   STREET                     ","            ",10021,1,0,1,"3,314","12,111",1920,1," A7 ","$48,000,000",2011-07-06,4.8e+07,12111,3314,0
"14873",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1389,65,NA,"A4"," 4 EAST 75TH   STREET                      ","            ",10021,1,0,1,"5,100","21,700",1899,1," A4 ","$36,500,000",2011-08-15,36500000,21700,5100,0
"14874",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1392,37,NA,"A4"," 870 PARK AVENUE                           ","            ",10075,1,0,1,"2,500","6,151",1950,1," A4 ","$18,328,500",2011-06-24,18328500,6151,2500,0
"14876",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1396,6,NA,"A7"," 113 EAST 61ST   STREET                    ","            ",10065,1,0,1,"1,908","5,700",1910,1," A7 ","$8,300,000",2011-08-31,8300000,5700,1908,0
"14877",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1398,25,NA,"A4"," 147 EAST 63RD   STREET                    ","            ",10065,1,0,1,"1,607","4,725",1899,1," A4 ","$9,140,625",2011-08-16,9140625,4725,1607,0
"14878",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1398,124,NA,"A4"," 145 EAST 63RD STREET                      ","            ",10065,1,0,1,"1,238","2,496",1899,1," A4 ","$1,950,000",2011-08-26,1950000,2496,1238,0
"14882",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1400,140,NA,"A4"," 164 EAST 66TH   STREET                    ","            ",10065,1,0,1,"1,858","3,629",1899,1," A4 ","$4,860,000",2011-09-27,4860000,3629,1858,0
"14884",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1405,61,NA,"A4"," 130 EAST 71ST STREET                      ","            ",10021,1,0,1,"1,607","4,929",1920,1," A4 ","$7,000,000",2011-02-01,7e+06,4929,1607,0
"14888",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1412,48,NA,"A4"," 160 EAST 78TH   STREET                    ","            ",10075,1,0,1,"1,916","3,456",1899,1," A4 ","$7,000,000",2011-11-15,7e+06,3456,1916,0
"14889",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1413,11,NA,"A4"," 119 EAST 78TH STREET                      ","            ",10075,1,0,1,"1,907","4,176",1899,1," A4 ","$7,400,000",2011-11-03,7400000,4176,1907,0
"14891",1,"UPPER EAST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1414,131,NA,"S1"," 240 EAST 60 ST                            ","            ",10022,1,1,2,"1,339","4,000",1910,1," S1 ","$3,650,000",2011-09-26,3650000,4000,1339,0
"14895",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1392,111,NA,"B9"," 17 EAST  77TH STREET                      ","4",10075,2,0,2,"1,703","5,062",1910,1," B9 ","$14,500,000",2011-12-22,14500000,5062,1703,0
"14900",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1415,134,NA,"B1"," 232 EAST 61ST   STREET                    ","            ",10065,2,0,2,"2,008","5,720",1910,1," B1 ","$7,950,000",2011-10-04,7950000,5720,2008,0
"14901",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1416,38,NA,"B1"," 222 EAST 62 STREET                        ","            ",10065,2,0,2,"2,008","3,360",1905,1," B1 ","$4,570,000",2011-05-17,4570000,3360,2008,0
"14904",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1433,114,NA,"B1"," 239 EAST 78TH STREET                      ","            ",10075,2,0,2,"1,413","2,600",1899,1," B1 ","$5,200,000",2011-03-01,5200000,2600,1413,0
"14905",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1443,41,NA,"B9"," 334 EAST 69TH   STREET                    ","            ",10021,2,0,2,"1,289","2,880",1899,1," B9 ","$3,425,000",2011-11-22,3425000,2880,1289,0
"14908",1,"UPPER EAST SIDE (59-79)  ","03  THREE FAMILY HOMES                      ","1",1406,31,NA,"C0"," 179 EAST 71ST   STREET                    ","            ",10021,3,0,3,"2,069","7,600",1920,1," C0 ","$6,700,000",2011-12-08,6700000,7600,2069,0
"14909",1,"UPPER EAST SIDE (59-79)  ","03  THREE FAMILY HOMES                      ","1",1409,45,NA,"A4"," 184 EAST 75TH   STREET                    ","            ",10021,1,0,1,"1,916","5,400",1920,1," C0 ","$5,100,000",2011-05-18,5100000,5400,1916,0
"14911",1,"UPPER EAST SIDE (59-79)  ","03  THREE FAMILY HOMES                      ","1",1443,138,NA,"C0"," 342 EAST 69TH STREET                      ","            ",10021,3,0,3,"1,289","3,024",1899,1," C0 ","$4,525,000",2011-06-13,4525000,3024,1289,0
"16704",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1492,46,NA,"A4"," 42 EAST 81ST   STREET                     ","            ",10028,1,0,1,"1,635","5,236",1899,1," A4 ","$7,600,000",2011-06-16,7600000,5236,1635,0
"16707",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1494,31,NA,"A4"," 69 EAST 82ND   STREET                     ","            ",10028,1,0,1,"2,043","5,360",1910,1," A4 ","$10,400,000",2011-05-23,10400000,5360,2043,0
"16710",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1506,10,NA,"A4"," 13 EAST 94TH STREET                       ","            ",10128,1,0,1,"2,013","6,420",1901,1," A4 ","$12,500,000",2011-02-02,12500000,6420,2013,0
"16711",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1506,162,NA,"A9"," 14 EAST 95TH                              ","            ",10128,1,0,1,"1,611","5,739",1920,1," A9 ","$14,250,000",2011-02-09,14250000,5739,1611,0
"16712",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1509,131,NA,"A4"," 181 EAST 80TH STREET                      ","            ",10075,1,0,1,"1,667","4,250",1925,1," A4 ","$7,550,000",2011-04-08,7550000,4250,1667,0
"16713",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1510,64,NA,"A4"," 118 EAST 82ND   STREET                    ","            ",10028,1,0,1,"1,456","2,800",1899,1," A4 ","$4,100,000",2011-06-17,4100000,2800,1456,0
"16714",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1518,17,NA,"A9"," 1342 LEXINGTON AVENUE                     ","            ",10128,1,0,1,"1,002","3,072",1899,1," A9 ","$3,550,000",2011-12-09,3550000,3072,1002,0
"16716",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1520,44,NA,"A4"," 162 EAST 92ND   STREET                    ","            ",10128,1,0,1,"2,517","6,775",1925,1," A4 ","$15,400,000",2011-07-21,15400000,6775,2517,0
"16718",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1523,165,NA,"A9"," 122 EAST 95TH STREET                      ","            ",10128,1,0,1,"2,013","4,160",1899,1," A9 ","$5,310,000",2011-05-04,5310000,4160,2013,0
"16721",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1524,16,NA,"A9"," 143 EAST 95TH   STREET                    ","            ",10128,1,0,1,"1,672","2,571",1920,1," A9 ","$4,400,000",2011-03-18,4400000,2571,1672,0
"16722",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1528,119,NA,"A5"," 243 EAST 82ND   STREET                    ","            ",10028,1,0,1,"1,532","5,000",1915,1," A5 ","$6,225,000",2011-02-25,6225000,5000,1532,0
"16726",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1567,18,NA,"A9"," 437 EAST 87TH STREET                      ","            ",10128,1,0,1,"2,164","3,381",1901,1," A9 ","$3,362,500",2011-06-17,3362500,3381,2164,0
"16729",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1506,108,NA,"B3"," 9 EAST 94TH   STREET                      ","            ",10128,2,0,2,"2,020","6,832",1901,1," B3 ","$10,500,000",2011-07-21,10500000,6832,2020,0
"16730",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1523,8,NA,"B3"," 121 EAST 94TH   STREET                    ","            ",10128,2,0,2,"1,678","3,072",1899,1," B3 ","$4,200,000",2011-05-17,4200000,3072,1678,0
"16731",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1523,26,NA,"B3"," 163 EAST 94TH STREET                      ","            ",10128,2,0,2,"1,888","3,456",1899,1," B3 ","$3,975,000",2011-06-24,3975000,3456,1888,0
"16732",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1546,31,NA,"B9"," 350 EAST 84TH   STREET                    ","            ",10028,2,0,2,"2,043","3,200",1901,1," B9 ","$3,950,000",2011-10-14,3950000,3200,2043,0
"16733",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1564,39,NA,"B9"," 422 EAST 85TH STREET                      ","            ",10028,2,0,2,"2,043","4,800",1899,1," B9 ","$8,860,000",2011-11-10,8860000,4800,2043,0
"16735",1,"UPPER EAST SIDE (79-96)  ","03  THREE FAMILY HOMES                      ","1",1566,32,NA,"C0"," 436 EAST 87TH   STREET                    ","            ",10128,3,0,3,"2,013","3,840",1899,1," C0 ","$4,100,000",2011-09-15,4100000,3840,2013,0
"16736",1,"UPPER EAST SIDE (79-96)  ","03  THREE FAMILY HOMES                      ","1",1583,121,NA,"C0"," 142 EAST END AVENUE                       ","            ",10028,3,0,3,"998","3,507",1899,1," C0 ","$3,550,000",2011-11-30,3550000,3507,998,0
"18166",1,"UPPER WEST SIDE (59-79)  ","01  ONE FAMILY HOMES                        ","1",1186,78,NA,"A4"," 387 WEST END AVENUE                       ","            ",10024,1,0,1,"1,358","3,840",1901,1," A4 ","$4,667,000",2011-06-13,4667000,3840,1358,0
"18167",1,"UPPER WEST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1121,154,NA,"B9"," 48 WEST 69TH STREET                       ","            ",10023,2,0,2,"2,059","6,282",1910,1," B9 ","$11,500,000",2011-11-30,11500000,6282,2059,0
"18168",1,"UPPER WEST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1127,12,NA,"A4"," 41 WEST 74TH   STREET                     ","            ",10023,1,0,1,"2,043","8,175",1910,1," B9 ","$12,500,000",2011-02-07,12500000,8175,2043,0
"18170",1,"UPPER WEST SIDE (59-79)  ","02  TWO FAMILY HOMES                        ","1",1184,70,NA,"S2"," 311 WEST 74TH   STREET                    ","            ",10023,2,1,3,"1,518","6,380",1901,1," S2 ","$8,550,000",2011-05-02,8550000,6380,1518,0
"18171",1,"UPPER WEST SIDE (59-79)  ","03  THREE FAMILY HOMES                      ","1",1126,28,NA,"C0"," 3 WEST 73RD   STREET                      ","            ",10023,3,0,3,"2,043","11,865",1900,1," C0 ","$5,360,000",2011-08-03,5360000,11865,2043,0
"18172",1,"UPPER WEST SIDE (59-79)  ","03  THREE FAMILY HOMES                      ","1",1141,22,NA,"C0"," 127 WEST 69 STREET                        ","            ",10023,3,0,3,"1,690","3,648",1901,1," C0 ","$5,100,000",2011-08-02,5100000,3648,1690,0
"19886",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1198,26,NA,"A4"," 9 WEST 84TH STREET                        ","            ",10024,1,0,1,"1,916","5,476",1890,1," A4 ","$12,200,000",2011-09-06,12200000,5476,1916,0
"19887",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1198,34,NA,"A4"," 247 CENTRAL PARK WEST                     ","            ",10024,1,0,1,"2,217","6,252",1900,1," A4 ","$22,375,000",2011-12-20,22375000,6252,2217,0
"19888",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1202,22,NA,"A4"," 25 WEST 88TH   STREET                     ","            ",10024,1,0,1,"2,014","6,074",1910,1," A4 ","$5,350,000",2011-09-01,5350000,6074,2014,0
"19890",1,"UPPER WEST SIDE (79-96)  ","01  ONE FAMILY HOMES                        ","1",1225,44,NA,"A4"," 126 WEST 95TH   STREET                    ","            ",10025,1,0,1,"1,510","3,000",1901,1," A4 ","$4,000,000",2011-12-19,4e+06,3000,1510,0
"19894",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1218,18,NA,"B3"," 145 WEST 87TH STREET                      ","            ",10024,2,0,2,"1,515","3,300",1899,1," B3 ","$4,250,000",2011-07-29,4250000,3300,1515,0
"19897",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1244,36,NA,"B1"," 317 WEST 80TH   STREET                    ","            ",10024,2,0,2,"1,839","4,813",1899,1," B1 ","$4,633,037",2011-12-21,4633037,4813,1839,0
"19898",1,"UPPER WEST SIDE (79-96)  ","02  TWO FAMILY HOMES                        ","1",1245,95,NA,"B9"," 338 WEST 84TH STREET                      ","            ",10024,2,0,2,"2,043","5,488",1910,1," B9 ","$3,700,000",2011-03-10,3700000,5488,2043,0
"19899",1,"UPPER WEST SIDE (79-96)  ","03  THREE FAMILY HOMES                      ","1",1197,11,NA,"C0"," 53 WEST 83RD STREET                       ","            ",10024,3,0,3,"1,703","3,200",1901,1," C0 ","$2,000,000",2011-10-24,2e+06,3200,1703,0
"19900",1,"UPPER WEST SIDE (79-96)  ","03  THREE FAMILY HOMES                      ","1",1208,19,NA,"C0"," 37 WEST 94TH STREET                       ","            ",10025,3,0,3,"1,787","3,638",1899,1," C0 ","$5,602,500",2011-04-28,5602500,3638,1787,0
"19901",1,"UPPER WEST SIDE (79-96)  ","03  THREE FAMILY HOMES                      ","1",1218,51,NA,"C0"," 156 WEST 88TH   STREET                    ","            ",10024,3,0,3,"1,762","3,956",1899,1," C0 ","$4,100,000",2011-06-30,4100000,3956,1762,0
"20749",1,"UPPER WEST SIDE (96-116) ","02  TWO FAMILY HOMES                        ","1",1873,8,NA,"B1"," 247 WEST 101 STREET                       ","            ",10025,2,0,2,"1,768","4,235",1902,1," B1 ","$4,050,000",2011-07-27,4050000,4235,1768,0
"21136",1,"WASHINGTON HEIGHTS LOWER ","01  ONE FAMILY HOMES                        ","1",2119,15,NA,"A9"," 572 WEST 161 STREET                       ","            ",10032,1,0,1,"1,649","3,200",1901,1," A9 ","$450,000",2011-08-29,450000,3200,1649,0
"21137",1,"WASHINGTON HEIGHTS LOWER ","01  ONE FAMILY HOMES                        ","1",2134,151,NA,"A9"," 642 WEST 158 STREET                       ","            ",10032,1,0,1,"1,867","2,430",1899,1," A9 ","$700,000",2011-01-21,7e+05,2430,1867,0
"21140",1,"WASHINGTON HEIGHTS LOWER ","02  TWO FAMILY HOMES                        ","1",2134,148,NA,"B3"," 648 WEST 158 STREET                       ","            ",10032,2,0,2,"1,950","3,728",1899,1," B3 ","$525,000",2011-02-03,525000,3728,1950,0
"21141",1,"WASHINGTON HEIGHTS LOWER ","02  TWO FAMILY HOMES                        ","1",2134,149,NA,"B3"," 646 WEST 158 STREET                       ","            ",10032,2,0,2,"1,800","3,416",1899,1," B3 ","$405,600",2011-03-07,405600,3416,1800,0
"21142",1,"WASHINGTON HEIGHTS LOWER ","03  THREE FAMILY HOMES                      ","1",2108,7,NA,"C0"," 944 ST NICHOLAS AVENUE                    ","            ",10032,3,0,3,"1,011","2,660",1899,1," C0 ","$935,000",2011-01-18,935000,2660,1011,0
"21143",1,"WASHINGTON HEIGHTS LOWER ","03  THREE FAMILY HOMES                      ","1",2110,53,NA,"C0"," 449 WEST 162 STREET                       ","            ",10032,3,0,3,"2,194","3,952",1905,1," C0 ","$379,000",2011-10-28,379000,3952,2194,0
